structure,z,L,energy_eV,energy_rel_eV
COF-366-Co-CN_z42_L120_incl,4.2,12.0,-74781.40002131154,1.140835055615753
COF-366-Co-CN_z42_L130_incl,4.2,13.0,-74781.37686473122,1.163991635927232
COF-366-Co-CN_z42_L140_incl,4.2,14.0,-74781.52233356863,1.01852279852028
COF-366-Co-CN_z42_L150_incl,4.2,15.0,-74781.56758012869,0.9732762384664966
COF-366-Co-CN_z42_L160_incl,4.2,16.0,-74781.61037219386,0.9304841732955538
COF-366-Co-CN_z42_L170_incl,4.2,17.0,-74781.62510876839,0.9157475987594808
COF-366-Co-CN_z43_L000_incl,4.3,0.0,-74782.51979506269,0.021061304461909458
COF-366-Co-CN_z43_L010_incl,4.3,1.0,-74782.02105297294,0.5198033942142501
COF-366-Co-CN_z43_L020_incl,4.3,2.0,-74781.14028949052,1.4005668766330928
COF-366-Co-CN_z43_L030_incl,4.3,3.0,-74780.54188094931,1.9989754178386647
COF-366-Co-CN_z43_L040_incl,4.3,4.0,-74781.01910007426,1.5217562928883126
COF-366-Co-CN_z43_L050_incl,4.3,5.0,-74782.0791447048,0.4617116623558104
COF-366-Co-CN_z43_L060_incl,4.3,6.0,-74782.1563060933,0.38455027385498397
COF-366-Co-CN_z43_L070_incl,4.3,7.0,-74781.75146872117,0.7893876459856983
COF-366-Co-CN_z43_L080_incl,4.3,8.0,-74780.93825888471,1.6025974824442528
COF-366-Co-CN_z43_L090_incl,4.3,9.0,-74780.61281536434,1.9280410028150072
COF-366-Co-CN_z43_L100_incl,4.3,10.0,-74781.26531795146,1.275538415691699
COF-366-Co-CN_z43_L110_incl,4.3,11.0,-74781.57173299626,0.969123370887246
COF-366-Co-CN_z43_L120_incl,4.3,12.0,-74781.43607436378,1.1047820033709286
COF-366-Co-CN_z43_L130_incl,4.3,13.0,-74781.39994720071,1.1409091664390871
COF-366-Co-CN_z43_L140_incl,4.3,14.0,-74781.49863080075,1.042225566401612
COF-366-Co-CN_z43_L150_incl,4.3,15.0,-74781.53313003402,1.0077263331331778
COF-366-Co-CN_z43_L160_incl,4.3,16.0,-74781.5740776305,0.9667787366488483
COF-366-Co-CN_z43_L170_incl,4.3,17.0,-74781.59384402631,0.9470123408391373
COF-366-Co-CN_z44_L000_incl,4.4,0.0,-74782.54085636715,0.0
COF-366-Co-CN_z44_L010_incl,4.4,1.0,-74782.18628939202,0.35456697513291147
COF-366-Co-CN_z44_L020_incl,4.4,2.0,-74781.54880630186,0.9920500652951887
COF-366-Co-CN_z44_L030_incl,4.4,3.0,-74781.0814230919,1.4594332752458286
COF-366-Co-CN_z44_L040_incl,4.4,4.0,-74781.35898939653,1.181866970626288
COF-366-Co-CN_z44_L050_incl,4.4,5.0,-74782.06065184019,0.48020452696073335
COF-366-Co-CN_z44_L060_incl,4.4,6.0,-74782.09171497336,0.44914139379397966
COF-366-Co-CN_z44_L070_incl,4.4,7.0,-74781.77651581158,0.7643405555718346
COF-366-Co-CN_z44_L080_incl,4.4,8.0,-74781.15216039494,1.3886959722149186
COF-366-Co-CN_z44_L090_incl,4.4,9.0,-74780.90365635908,1.6372000080737052
COF-366-Co-CN_z44_L100_incl,4.4,10.0,-74781.36771864658,1.173137720572413
COF-366-Co-CN_z44_L110_incl,4.4,11.0,-74781.57479043184,0.9660659353103256
COF-366-Co-CN_z44_L120_incl,4.4,12.0,-74781.45354361391,1.0873127532395301
COF-366-Co-CN_z44_L130_incl,4.4,13.0,-74781.40968396713,1.1311724000261165
COF-366-Co-CN_z44_L140_incl,4.4,14.0,-74781.47440108181,1.0664552853413625
COF-366-Co-CN_z44_L150_incl,4.4,15.0,-74781.49997348608,1.0408828810759587
COF-366-Co-CN_z44_L160_incl,4.4,16.0,-74781.53770698643,1.0031493807182414
COF-366-Co-CN_z44_L170_incl,4.4,17.0,-74781.56028391747,0.9805724496836774
COF-366-Co-CN_z45_L000_incl,4.5,0.0,-74782.51694983375,0.02390653340262361
COF-366-Co-CN_z45_L010_incl,4.5,1.0,-74782.2705167384,0.27033962875430007
COF-366-Co-CN_z45_L020_incl,4.5,2.0,-74781.810230377,0.7306259901524754
COF-366-Co-CN_z45_L030_incl,4.5,3.0,-74781.44172555872,1.0991308084339835
COF-366-Co-CN_z45_L040_incl,4.5,4.0,-74781.57557245209,0.965283915065811
COF-366-Co-CN_z45_L050_incl,4.5,5.0,-74782.02151229003,0.5193440771254245
COF-366-Co-CN_z45_L060_incl,4.5,6.0,-74782.02124270647,0.5196136606828077
COF-366-Co-CN_z45_L070_incl,4.5,7.0,-74781.77682222577,0.7640341413789429
COF-366-Co-CN_z45_L080_incl,4.5,8.0,-74781.30123527753,1.2396210896258708
COF-366-Co-CN_z45_L090_incl,4.5,9.0,-74781.11245965553,1.428396711620735
COF-366-Co-CN_z45_L100_incl,4.5,10.0,-74781.43322173263,1.1076346345216734
COF-366-Co-CN_z45_L110_incl,4.5,11.0,-74781.56633727916,0.9745190879912116
COF-366-Co-CN_z45_L120_incl,4.5,12.0,-74781.45776316551,1.0830932016397128
COF-366-Co-CN_z45_L130_incl,4.5,13.0,-74781.41003339611,1.1308229710411979
COF-366-Co-CN_z45_L140_incl,4.5,14.0,-74781.45032658598,1.0905297811696073
COF-366-Co-CN_z45_L150_incl,4.5,15.0,-74781.46880979049,1.0720465766644338
COF-366-Co-CN_z45_L160_incl,4.5,16.0,-74781.50257718436,1.0382791827869369
COF-366-Co-CN_z45_L170_incl,4.5,17.0,-74781.52643792758,1.0144184395758202
COF-366-Co-CN_z46_L000_incl,4.6,0.0,-74782.46143972626,0.07941664088866673
COF-366-Co-CN_z46_L010_incl,4.6,1.0,-74782.29412026591,0.2467361012386391
COF-366-Co-CN_z46_L020_incl,4.6,2.0,-74781.96266343963,0.5781929275253788
COF-366-Co-CN_z46_L030_incl,4.6,3.0,-74781.66780149398,0.873054873169167
COF-366-Co-CN_z46_L040_incl,4.6,4.0,-74781.70245617341,0.8384001937374705
COF-366-Co-CN_z46_L050_incl,4.6,5.0,-74781.96887965662,0.5719767105329083
COF-366-Co-CN_z46_L060_incl,4.6,6.0,-74781.94836009188,0.5924962752760621
COF-366-Co-CN_z46_L070_incl,4.6,7.0,-74781.75983246067,0.7810239064856432
COF-366-Co-CN_z46_L080_incl,4.6,8.0,-74781.4003666278,1.1404897393513238
COF-366-Co-CN_z46_L090_incl,4.6,9.0,-74781.25761376071,1.2832426064414904
COF-366-Co-CN_z46_L100_incl,4.6,10.0,-74781.47171923422,1.0691371329303365
COF-366-Co-CN_z46_L110_incl,4.6,11.0,-74781.5502291384,0.9906272287480533
COF-366-Co-CN_z46_L120_incl,4.6,12.0,-74781.45294186118,1.0879145059734583
COF-366-Co-CN_z46_L130_incl,4.6,13.0,-74781.4040402722,1.1368160949496087
COF-366-Co-CN_z46_L140_incl,4.6,14.0,-74781.42687222589,1.1139841412659734
COF-366-Co-CN_z46_L150_incl,4.6,15.0,-74781.44005520247,1.1008011646772502
COF-366-Co-CN_z46_L160_incl,4.6,16.0,-74781.46958044682,1.0712759203306632
COF-366-Co-CN_z46_L170_incl,4.6,17.0,-74781.49368326359,1.047173103565001
COF-366-Co-CN_z47_L000_incl,4.7,0.0,-74782.38457183531,0.15628453184035607
COF-366-Co-CN_z47_L010_incl,4.7,1.0,-74782.27380829056,0.267048076595529
COF-366-Co-CN_z47_L020_incl,4.7,2.0,-74782.03574057344,0.5051157937123207
COF-366-Co-CN_z47_L030_incl,4.7,3.0,-74781.79579264077,0.7450637263827957
COF-366-Co-CN_z47_L040_incl,4.7,4.0,-74781.76588008877,0.7749762783787446
COF-366-Co-CN_z47_L050_incl,4.7,5.0,-74781.90836885941,0.6324875077407341
COF-366-Co-CN_z47_L060_incl,4.7,6.0,-74781.87563993804,0.6652164291153895
